Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu
MMA,1,+80ans,PC,466826.5551984102,80150322.39,49751,1264,79958415.99999999,6886486.289999998,80902878.80025169,63902346.83332819,536176864.6525975
MMA,1,+80ans,PP,6750.455854607163,1104003.85,1031,27,1099317.01,34278.89,1118739.551933011,638837.9447922668,6143491.960121424
MMA,1,70-75ans,GP,528474.2985867762,25914854.27000004,40171,1359,25546222.94,4998903.34,27746559.15910799,14993874.21208579,329781395.7069819
MMA,1,70-75ans,NC,1151.493322389915,7871.52,1508,0,0.0,0.0,36513.94542915473,12159.14382790853,0.0
MMA,1,70-75ans,PC,2910257.294582247,96066581.33000004,35929,1637,95502911.39999999,44480404.2,99035504.84440394,57702746.7738227,1261455687.363544
MMA,1,70-75ans,PP,32260.95801964789,2170398.87,850,38,2157563.9,415975.55,2225711.071712915,686343.4521729712,18944336.75019573
MMA,1,75-80ans,GP,227270.8710565181,16084065.80000001,27278,836,15876656.96,1968741.44,17022685.28891259,10548446.06385487,167321412.7972364
MMA,1,75-80ans,NC,136.9046246679483,1009.8,178,0,0.0,0.0,4547.8010522882,1514.417750411971,0.0
MMA,1,75-80ans,PC,1084065.650220952,58694728.79999995,25886,1052,58327382.76000001,20011180.93,60426864.42999861,39854265.15922678,620061823.3805712
MMA,1,75-80ans,PP,13169.3665654838,1143818.34,563,23,1142453.64,187853.95,1148682.828131112,479033.6824169862,8744109.131537635
MAAF,0,0-30ans,Ex PC,33031.31701604379,668029.07,1042,64,633090.07,89212.76000000001,903157.625177076,19991.07866558339,12628857.12156731
MAAF,0,0-30ans,GP,649040.8990757271,16108743.28,37975,4123,14734361.55,2422171.37,25620981.96093569,344116.0982273869,443067911.2907843
MAAF,0,0-30ans,NC,677869.6107731935,363360.1200000001,78981,0,0.0,0.0,10737110.40316795,3217933.705220934,0.0
MAAF,0,0-30ans,PC,833456.3537076646,11995642.46,7508,774,11917466.75,2605564.86,12551101.66204447,272819.2713445359,255773174.6674916
MAAF,0,0-30ans,PP,137012.0078578109,2321268.29,6740,523,2182758.66,577497.23,3309990.800808912,46407.19559376915,52622635.21924435
MAAF,0,30-40ans,Ex PC,33057.41501311772,576238.46,981,49,546431.76,116982.3,768721.2507249092,29933.14659063019,10936683.49305693
MAAF,0,30-40ans,GP,872007.9563474881,13272513.52,47422,2749,11406973.6,3092224.949999999,25697239.63247499,1238883.755174349,384597141.2779223
MAAF,0,30-40ans,NC,863401.9501622781,470655.7600000002,142823,0,0.0,0.0,13623114.42159826,4082874.946913847,0.0
MAAF,0,30-40ans,PC,695270.8744402233,8439809.19,3447,339,8355291.89,2717717.65,9028038.62792246,459239.1048048107,172739468.4039359
MAAF,0,30-40ans,PP,392006.1521861972,3393094.79,3570,385,2948697.66,1184694.05,6594172.453862008,371522.2859223986,105282177.0748456
