Marque,Segment,Trage,SEGMENT_MODOP,reporting+70,PVFP,PM actu,collecte,rachatsNBtotactu,DCNBtotactu,prestations
MMA Agents,EURO,70-75ans,PP,1,20340.18572583307,14364233.67263348,1787200.784507798,1360671.523427883,501694.938068238,1862366.461496121
MMA Agents,EURO,75-80ans,GP,1,186499.3495409534,144007635.5916401,15001132.23994446,6388293.284874633,9074782.851733955,15463076.13660859
MMA Agents,EURO,75-80ans,PC,1,271565.2437444353,184784404.7887219,17857627.16499674,6706114.233070641,12000425.33275386,18706539.5658245
MMA Agents,EURO,75-80ans,PP,1,10147.00862565849,6956634.127713239,960161.0421045348,612602.0962795573,379555.0791243659,992157.1754039233
MMA Agents,Prevoyance,+80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Agents,Prevoyance,0-30ans,NC,0,128377.6846863643,0.0,3181877.800140964,0.0,1059565.307446941,1059565.307446941
MMA Agents,Prevoyance,30-40ans,NC,0,279577.1733155238,0.0,8572496.415965507,0.0,2854641.306516512,2854641.306516512
MMA Agents,Prevoyance,40-50ans,NC,0,385233.0293295131,0.0,9370208.653716708,0.0,3120279.481687665,3120279.481687665
MMA Agents,Prevoyance,50-60ans,NC,0,172609.9045078388,0.0,3960158.361551129,0.0,1318732.734396526,1318732.734396526
MMA Agents,Prevoyance,60-70ans,NC,0,41271.50786429441,0.0,769693.3803404841,0.0,256307.8956533812,256307.8956533812
MMA Agents,Prevoyance,70-75ans,NC,1,1151.493322389915,0.0,36513.94542915473,0.0,12159.14382790853,12159.14382790853
MMA Agents,Prevoyance,75-80ans,NC,1,136.9046246679483,0.0,4547.8010522882,0.0,1514.417750411971,1514.417750411971
MMA Agents,UC,+80ans,GP,1,-2823.922223732341,8066100.827607138,1011880.151629097,229816.5597996286,864690.2068906978,1094506.766690326
MMA Agents,UC,+80ans,PC,1,15967.38823853251,23150733.40009075,2621201.341748613,525466.5567245624,2315244.482389813,2840711.039114375
MMA Agents,UC,+80ans,PP,1,-255.3864386372421,222894.8860825407,34278.89,13187.25950679371,24046.28931482913,37233.54882162284
MMA Agents,UC,0-30ans,GP,0,222140.5550579569,84252533.13210675,4414932.54377233,3412993.621232181,72630.4502084734,3485624.071440654
MMA Agents,UC,0-30ans,PC,0,929809.9759117179,137900485.5872775,6379041.5963426,4813621.011738414,90943.92511129574,4904564.93684971
MMA Agents,UC,0-30ans,PP,0,7229.157460543719,2333413.17733042,212913.7213354185,212977.9228560221,1162.745265282278,214140.6681213044
MMA Agents,UC,30-40ans,GP,0,404751.3470458514,139197968.7490023,6802474.293998596,3812141.116935623,365197.2347927556,4177338.351728379
MMA Agents,UC,30-40ans,PC,0,389740.0169752904,70088188.84809263,3379271.598052839,2108390.287190185,191475.3263505605,2299865.613540745
MMA Agents,UC,30-40ans,PP,0,14419.23803409028,4912661.503728569,296451.4317777326,168990.0000889039,14782.23912981994,183772.2392187238
MMA Agents,UC,40-50ans,GP,0,883932.8186731122,278290097.2444132,13826147.55280727,6846445.108615189,1671182.258628003,8517627.367243191
MMA Agents,UC,40-50ans,PC,0,986797.7228069343,191697068.8552611,8912508.644411733,4928710.5772379,1331704.530881088,6260415.108118989
MMA Agents,UC,40-50ans,PP,0,94781.27649317928,28784810.30528214,1885239.951871202,1109071.857037771,163309.385706113,1272381.242743884
MMA Agents,UC,50-60ans,GP,0,1110702.815807413,346447222.2547218,19489276.04468113,9080174.542628866,5232535.941309174,14312710.48393804
MMA Agents,UC,50-60ans,PC,0,2303999.908767251,488666288.4946972,24410517.4292979,11917134.33833521,7677430.883140343,19594565.22147555
MMA Agents,UC,50-60ans,PP,0,93700.98712357102,30747914.57608203,2249698.562079018,1183665.584860111,390627.7557930398,1574293.340653151
MMA Agents,UC,60-70ans,GP,0,891773.7585822666,261547161.2332402,15798523.4717626,8031438.382535634,7503382.482745618,15534820.86528125
MMA Agents,UC,60-70ans,PC,0,2206984.818117154,531713302.9873888,29961567.622485,13204148.58989791,16150038.60529219,29354187.19519011
MMA Agents,UC,60-70ans,PP,0,98767.74731013732,31284695.57434496,2681969.557220039,1824524.914474722,759658.3423244716,2584183.256799193
MMA Agents,UC,70-75ans,GP,1,189906.184616207,71367772.17668569,5128992.966471118,2106033.871212797,3313409.155548103,5419443.026760899
MMA Agents,UC,70-75ans,PC,1,490104.5254477253,138480349.9798965,9361859.94397769,3249857.526290732,6607694.355551145,9857551.881841877
MMA Agents,UC,70-75ans,PP,1,11920.77229381481,4580103.077562249,438510.2872051167,284525.782774569,184648.5141047333,469174.2968793022
MMA Agents,UC,75-80ans,GP,1,40771.52151556484,23313777.20559645,2021553.048968124,698413.6150830566,1473663.212120922,2172076.827203978
MMA Agents,UC,75-80ans,PC,1,160534.1379865851,66799925.18735319,5590867.571378379,1554832.916686633,4460306.142351078,6015139.059037711
MMA Agents,UC,75-80ans,PP,1,3022.357939825313,1787475.003824396,188521.7860265774,103940.9160998004,99478.60329262023,203419.5193924207
MMA Courtage,EURO,+80ans,PC,1,171306.7202042103,150496221.8107508,23961095.26624341,7195783.744478116,17729074.60115023,24924858.34562834
MMA Courtage,EURO,0-30ans,PC,0,640326.0344599701,379794824.3225102,25116582.56712012,23738368.45501995,203588.7541921373,23941957.20921209
MMA Courtage,EURO,30-40ans,PC,0,409019.3620798369,230702609.6233349,17832068.95537011,15022660.61798334,593000.4519456152,15615661.06992896
MMA Courtage,EURO,40-50ans,PC,0,850665.3217042406,463670179.2275612,31406463.12406498,24105535.07139136,2949890.955129629,27055426.02652099
MMA Courtage,EURO,50-60ans,PC,0,1709686.037211896,963680333.5536622,68338152.57635087,47625941.29602972,15110906.41802441,62736847.71405414
MMA Courtage,EURO,60-70ans,PC,0,1677253.617327196,1041163667.58206,78236764.85487758,48931814.45118202,30932420.00333751,79864234.45451953
MMA Courtage,EURO,70-75ans,PC,1,359163.0071431136,246949446.6387149,20923183.08924452,11404915.56081123,10750397.95369451,22155313.51450574
MMA Courtage,EURO,75-80ans,PC,1,206625.7759536132,149874244.6147222,15641649.67174904,7231363.032708755,9252678.831833424,16484041.86454218
MMA Courtage,Prevoyance,+80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,Prevoyance,0-30ans,NC,0,4102.812047856007,0.0,161557.9734287043,0.0,53798.80515175855,53798.80515175855
MMA Courtage,Prevoyance,30-40ans,NC,0,21989.96866499761,0.0,821600.4164160395,0.0,273592.9386665412,273592.9386665412
MMA Courtage,Prevoyance,40-50ans,NC,0,21720.61700592455,0.0,629619.5231967017,0.0,209663.3012245017,209663.3012245017
MMA Courtage,Prevoyance,50-60ans,NC,0,6915.41286190051,0.0,155749.512599086,0.0,51864.58769549563,51864.58769549563
MMA Courtage,Prevoyance,60-70ans,NC,0,1336.619113601984,0.0,23591.61435148804,0.0,7856.007579045516,7856.007579045516
MMA Courtage,Prevoyance,70-75ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,Prevoyance,75-80ans,NC,1,0.0,0.0,0.0,0.0,0.0,0.0
MMA Courtage,UC,+80ans,PC,1,10356.67875252421,28428157.42378066,3641976.945423372,961760.4543438707,2868880.023048095,3830640.477391966
MMA Courtage,UC,0-30ans,PC,0,1076189.850413923,324621030.4040412,19515520.10047819,17315331.57915116,185634.5052579434,17500966.08440911
MMA Courtage,UC,30-40ans,PC,0,1330711.887851023,316147087.6267912,19688126.28600445,14011944.33969233,732607.5445953619,14744551.88428769
MMA Courtage,UC,40-50ans,PC,0,2716937.909176384,624147201.2519903,38808611.45484083,25357067.40473611,3345832.827460667,28702900.23219677
